sequence,case,region,metric,on,off,on_minus_off
20200709-subject-01/20200709_152420,natural,geometry_focus_proxy,camera_consistency_mm,33.81652504205704,33.81801223754883,-0.0014871954917907715
20200709-subject-01/20200709_152757,natural,geometry_focus_proxy,camera_consistency_mm,14.571266635771721,14.56809542256017,0.00317121321155156
20200709-subject-01/20200709_153148,natural,geometry_focus_proxy,camera_consistency_mm,49.99096545051126,49.98833824606503,0.0026272044462345434
20200709-subject-01/20200709_153548,natural,geometry_focus_proxy,camera_consistency_mm,37.88831481933594,37.89322204589844,-0.004907226562501421
20200813-subject-02/20200813_145612,natural,geometry_focus_proxy,camera_consistency_mm,60.41093479503285,60.41314073042436,-0.0022059353915082625
20200813-subject-02/20200813_145920,natural,geometry_focus_proxy,camera_consistency_mm,93.42359978812081,93.41864967346191,0.004950114658896609
20200813-subject-02/20200813_150228,natural,geometry_focus_proxy,camera_consistency_mm,37.42516014792702,37.42502091147683,0.0001392364501953125
20200813-subject-02/20200813_150535,natural,geometry_focus_proxy,camera_consistency_mm,41.63691595326299,41.639616758927055,-0.0027008056640625
20200813-subject-02/20200813_150823,natural,geometry_focus_proxy,camera_consistency_mm,36.50862669944763,36.505797386169434,0.002829313278198242
20200813-subject-02/20200813_151117,natural,geometry_focus_proxy,camera_consistency_mm,33.88445181005142,33.881591796875,0.002860013176416487
20200813-subject-02/20200813_151925,natural,geometry_focus_proxy,camera_consistency_mm,44.17256851196289,44.1786548614502,-0.0060863494873046875
20200813-subject-02/20200813_152215,natural,geometry_focus_proxy,camera_consistency_mm,33.52915916442871,33.54675216674805,-0.01759300231933736
20200813-subject-02/20200813_152513,natural,geometry_focus_proxy,camera_consistency_mm,54.311851501464844,54.32174809773763,-0.009896596272788827
20200813-subject-02/20200813_152842,natural,geometry_focus_proxy,camera_consistency_mm,58.25728098551432,58.26366678873698,-0.00638580322265625
20200813-subject-02/20200813_153152,natural,geometry_focus_proxy,camera_consistency_mm,63.82398928128756,63.85158832256611,-0.027599041278548953
20200813-subject-02/20200813_153453,natural,geometry_focus_proxy,camera_consistency_mm,62.27498762948172,62.274174554007395,0.0008130754743262969
20200813-subject-02/20200813_153802,natural,geometry_focus_proxy,camera_consistency_mm,57.91672396659851,57.917274475097656,-0.0005505084991455078
20200813-subject-02/20200813_154103,natural,geometry_focus_proxy,camera_consistency_mm,51.80128147291101,51.80100681470788,0.000274658203125
20200813-subject-02/20200813_154408,natural,geometry_focus_proxy,camera_consistency_mm,58.564627488454185,58.576746463775635,-0.012118975321449454
