population,metric,contrast,delta,lower95,upper95,lower99,upper99
asymmetric,adds_005,remove_latent_with_spatial,0.07297470443211296,-0.03319441025260729,0.18455316987104547,-0.06029025216875212,0.2205863008856173
asymmetric,adds_005,interaction,0.12869133431549074,-0.08259697779682362,0.3414402479396166,-0.13190176682365526,0.39895381109404177
asymmetric,adds_005,s0_l1_vs_residual,0.843413393265152,0.12307590734540633,1.6085303353484686,-0.03354802633775,1.8459304310963431
asymmetric,adds_005,s0_l1_vs_fp,13.997469479376335,8.73153463282047,19.03627525124598,7.053213443002171,20.59321155183701
asymmetric,adds_005,s0_l0_vs_residual,0.7876967633817742,0.015209682745915745,1.5691655161812366,-0.16379587071206955,1.8131805646631658
asymmetric,adds_005,s0_l0_vs_fp,13.941752849492957,8.673720745206454,18.97953089001027,7.000318785509729,20.572885381049687
asymmetric,adds_005,s1_l1_vs_residual,0.9344858632321262,0.10604505723390503,1.8159530017658527,-0.08754814571794454,2.0872454276636123
asymmetric,adds_005,s1_l1_vs_fp,14.088541949343309,8.66644455965555,19.290927510459504,6.959633921699227,20.83726081952621
asymmetric,adds_005,s1_l0_vs_residual,1.0074605676642392,0.2029304235447814,1.8709329187359105,0.01042115229197038,2.110167333708597
asymmetric,adds_005,s1_l0_vs_fp,14.161516653775422,8.78691884623495,19.347332338355372,7.07555284801703,20.879996717198
asymmetric,adds_01,spatial_with_latent,0.029800704441427683,-0.12555226904948888,0.1915982805617599,-0.15813524426575995,0.2287083885216716
asymmetric,adds_01,spatial_without_latent,-0.07450435646323683,-0.14726952612050326,-0.005686931083055677,-0.16757674419906776,0.011009945142849416
asymmetric,adds_01,remove_latent_without_spatial,0.03660064458284751,-0.10623267424192022,0.18329214852517522,-0.13415227183779257,0.21478232180126336
asymmetric,adds_01,remove_latent_with_spatial,-0.06770441632181701,-0.1522412470125804,0.0,-0.1669473114614187,0.00789195464924367
asymmetric,adds_01,interaction,-0.10430506090466451,-0.28497952327937914,0.0654922716982611,-0.33043487115937287,0.09505064054697346
asymmetric,adds_01,s0_l1_vs_residual,0.3441455344698596,-0.5115056159703435,1.2356595451666448,-0.6778139170871402,1.4263781486171034
asymmetric,adds_01,s0_l1_vs_fp,11.030727045243097,6.204154636512533,16.01255105081883,4.907533398065224,17.518891507317214
asymmetric,adds_01,s0_l0_vs_residual,0.38074617905270713,-0.49080992272130075,1.2946299578098879,-0.6546255328700998,1.482231896063443
asymmetric,adds_01,s0_l0_vs_fp,11.067327689825945,6.155949314792397,16.101127059532846,4.876666967805707,17.6220449584933
asymmetric,adds_01,s1_l1_vs_residual,0.3739462389112873,-0.4635279681990099,1.2511170975362766,-0.6157160290321803,1.425469041484634
asymmetric,adds_01,s1_l1_vs_fp,11.060527749684525,6.1340707890078185,16.13534510869573,4.842799693364728,17.666419289799435
asymmetric,adds_01,s1_l0_vs_residual,0.3062418225894703,-0.6019204824979962,1.2355801860199755,-0.761762789135818,1.4138941792027342
asymmetric,adds_01,s1_l0_vs_fp,10.992823333362708,6.09454178320235,16.02283595131948,4.828435214230806,17.52691606302466
asymmetric,rotation_deg,spatial_with_latent,-0.019835875713667406,-0.09865993135110385,0.06076437811684386,-0.12037273240522939,0.08526863189004917
asymmetric,rotation_deg,spatial_without_latent,-0.17357590947279178,-0.35743061167307816,-0.014638993730488964,-0.3989816441853363,0.021435967035079606
asymmetric,rotation_deg,remove_latent_without_spatial,0.07760054105395753,-0.03551297283449695,0.20039455118364086,-0.061777915159982065,0.22438946252024244
asymmetric,rotation_deg,remove_latent_with_spatial,-0.07613949270516684,-0.1883563682502663,0.017283141007468465,-0.21263745520659327,0.03864175237072313
asymmetric,rotation_deg,interaction,-0.15374003375912437,-0.31662322266099385,-0.014188029647096175,-0.3579528489491838,0.00978777273710613
asymmetric,rotation_deg,s0_l1_vs_residual,-0.11302964870948884,-1.3638731692869794,1.1618654775239567,-1.6447801673779632,1.4321868268717712
asymmetric,rotation_deg,s0_l1_vs_fp,-3.4707933010831944,-7.440279413698929,0.6271661778658544,-8.67318253073061,1.666123416667691
asymmetric,rotation_deg,s0_l0_vs_residual,-0.03542910765553131,-1.305177915150244,1.2453957647276792,-1.6192693659187698,1.550930681476745
asymmetric,rotation_deg,s0_l0_vs_fp,-3.393192760029237,-7.362194008765671,0.6913274613432313,-8.608208861834353,1.7539744087084443
