population,metric,physical_sequence,object_id,method,frames,sum
all,adds_005,20200709-subject-01/20200709_150144,11,s0_l1,576,51700.0
all,adds_005,20200709-subject-01/20200709_150144,11,s0_l0,576,51700.0
all,adds_005,20200709-subject-01/20200709_150144,11,s1_l1,576,51700.0
all,adds_005,20200709-subject-01/20200709_150144,11,s1_l0,576,51700.0
all,adds_005,20200709-subject-01/20200709_150144,11,fp,576,51600.0
all,adds_005,20200709-subject-01/20200709_150524,12,residual,576,52000.0
all,adds_005,20200709-subject-01/20200709_150524,12,s0_l1,576,51800.0
all,adds_005,20200709-subject-01/20200709_150524,12,s0_l0,576,52900.0
all,adds_005,20200709-subject-01/20200709_150524,12,s1_l1,576,52600.0
all,adds_005,20200709-subject-01/20200709_150524,12,s1_l0,576,52800.0
all,adds_005,20200709-subject-01/20200709_150524,12,fp,576,43800.0
all,adds_005,20200709-subject-01/20200709_150906,13,residual,592,56700.0
all,adds_005,20200709-subject-01/20200709_150906,13,s0_l1,592,56300.0
all,adds_005,20200709-subject-01/20200709_150906,13,s0_l0,592,56300.0
all,adds_005,20200709-subject-01/20200709_150906,13,s1_l1,592,56400.0
all,adds_005,20200709-subject-01/20200709_150906,13,s1_l0,592,56400.0
all,adds_005,20200709-subject-01/20200709_150906,13,fp,592,58700.0
all,adds_005,20200709-subject-01/20200709_151246,14,residual,592,46800.0
all,adds_005,20200709-subject-01/20200709_151246,14,s0_l1,592,46900.0
all,adds_005,20200709-subject-01/20200709_151246,14,s0_l0,592,46900.0
all,adds_005,20200709-subject-01/20200709_151246,14,s1_l1,592,47000.0
all,adds_005,20200709-subject-01/20200709_151246,14,s1_l0,592,47000.0
all,adds_005,20200709-subject-01/20200709_151246,14,fp,592,35300.0
all,adds_005,20200709-subject-01/20200709_151632,15,residual,576,57200.0
all,adds_005,20200709-subject-01/20200709_151632,15,s0_l1,576,57100.0
all,adds_005,20200709-subject-01/20200709_151632,15,s0_l0,576,57100.0
all,adds_005,20200709-subject-01/20200709_151632,15,s1_l1,576,57000.0
all,adds_005,20200709-subject-01/20200709_151632,15,s1_l0,576,57000.0
all,adds_005,20200709-subject-01/20200709_151632,15,fp,576,54500.0
all,adds_005,20200709-subject-01/20200709_151948,16,residual,576,55900.0
all,adds_005,20200709-subject-01/20200709_151948,16,s0_l1,576,55800.0
all,adds_005,20200709-subject-01/20200709_151948,16,s0_l0,576,55800.0
all,adds_005,20200709-subject-01/20200709_151948,16,s1_l1,576,55800.0
all,adds_005,20200709-subject-01/20200709_151948,16,s1_l0,576,55800.0
all,adds_005,20200709-subject-01/20200709_151948,16,fp,576,55400.0
all,adds_005,20200709-subject-01/20200709_152420,17,residual,592,35400.0
all,adds_005,20200709-subject-01/20200709_152420,17,s0_l1,592,35900.0
all,adds_005,20200709-subject-01/20200709_152420,17,s0_l0,592,36500.0
all,adds_005,20200709-subject-01/20200709_152420,17,s1_l1,592,34900.0
all,adds_005,20200709-subject-01/20200709_152420,17,s1_l0,592,35700.0
all,adds_005,20200709-subject-01/20200709_152420,17,fp,592,48800.0
all,adds_005,20200709-subject-01/20200709_152757,18,residual,576,28700.0
all,adds_005,20200709-subject-01/20200709_152757,18,s0_l1,576,36800.0
all,adds_005,20200709-subject-01/20200709_152757,18,s0_l0,576,34600.0
all,adds_005,20200709-subject-01/20200709_152757,18,s1_l1,576,37500.0
all,adds_005,20200709-subject-01/20200709_152757,18,s1_l0,576,37400.0
all,adds_005,20200709-subject-01/20200709_152757,18,fp,576,40400.0
all,adds_005,20200709-subject-01/20200709_153148,20,residual,576,38900.0
all,adds_005,20200709-subject-01/20200709_153148,20,s0_l1,576,37900.0
all,adds_005,20200709-subject-01/20200709_153148,20,s0_l0,576,38300.0
all,adds_005,20200709-subject-01/20200709_153148,20,s1_l1,576,37700.0
